,ticker,shortName,longName,logo_url
0,ADANIENT.NS,ADANI ENTERPRISES,Adani Enterprises Limited,https://logo.clearbit.com/adanienterprises.com
1,ADANIPORTS.NS,ADANI PORT SPECIAL,Adani Ports and Special Economic Zone Limited,https://logo.clearbit.com/adaniports.com
2,APOLLOHOSP.NS,APOLLO HOSPITALS.,Apollo Hospitals Enterprise Limited,https://logo.clearbit.com/apollohospitals.com
3,ASIANPAINT.NS,ASIAN PAINTS LTD,Asian Paints Limited,https://logo.clearbit.com/asianpaints.com
4,AXISBANK.NS,AXIS BANK,Axis Bank Limited,https://logo.clearbit.com/axisbank.com
5,BAJAJ-AUTO.NS,BAJAJ AUTO LTD,Bajaj Auto Limited,https://logo.clearbit.com/bajajauto.com
6,BAJAJFINSV.NS,BAJAJ FINSERV LTD,Bajaj Finserv Ltd.,https://logo.clearbit.com/bajajfinserv.in
7,BAJFINANCE.NS,BAJAJ FINANCE LTD,Bajaj Finance Limited,https://logo.clearbit.com/bajajfinserv.in
8,BHARTIARTL.NS,BHARTI AIRTEL LTD,Bharti Airtel Limited,https://logo.clearbit.com/airtel.in
9,BPCL.NS,BHARAT PETROL CORP,Bharat Petroleum Corporation Limited,https://logo.clearbit.com/bharatpetroleum.in
10,BRITANNIA.NS,BRITANNIA INDS,Britannia Industries Limited,https://logo.clearbit.com/britannia.co.in
11,CIPLA.NS,CIPLA LTD,Cipla Limited,https://logo.clearbit.com/cipla.com
12,COALINDIA.NS,COAL INDIA LTD,Coal India Limited,https://logo.clearbit.com/coalindia.in
13,DIVISLAB.NS,DIVI'S LABORATORIE,Divi's Laboratories Limited,https://logo.clearbit.com/divislabs.com
14,DRREDDY.NS,DR REDDYS LABS,Dr. Reddy's Laboratories Limited,https://logo.clearbit.com/drreddys.com
15,EICHERMOT.NS,EICHER MOTORS,Eicher Motors Limited,https://logo.clearbit.com/eichermotors.com
16,GRASIM.NS,GRASIM INDUSTRIES,Grasim Industries Limited,https://logo.clearbit.com/grasim.com
17,HCLTECH.NS,HCL TECHNOLOGIES,HCL Technologies Limited,https://logo.clearbit.com/hcltech.com
18,HDFC.NS,HOUSING DEVEL FIN,Housing Development Finance Corporation Limited,https://logo.clearbit.com/hdfc.com
19,HDFCBANK.NS,HDFC BANK,HDFC Bank Limited,https://logo.clearbit.com/hdfcbank.com
20,HDFCLIFE.NS,HDFC LIFE INSURANC,HDFC Life Insurance Company Limited,https://logo.clearbit.com/hdfclife.com
21,HEROMOTOCO.NS,HERO MOTOCORP LTD,Hero MotoCorp Limited,https://logo.clearbit.com/heromotocorp.com
22,HINDALCO.NS,HINDALCO INDS,Hindalco Industries Limited,https://logo.clearbit.com/hindalco.com
23,HINDUNILVR.NS,HINDUSTAN UNILEVER,Hindustan Unilever Limited,https://logo.clearbit.com/hul.co.in
24,ICICIBANK.NS,ICICI BANK,ICICI Bank Limited,https://logo.clearbit.com/icicibank.com
25,INDUSINDBK.NS,INDUSIND BANK LTD,IndusInd Bank Limited,https://logo.clearbit.com/indusind.com
26,INFY.NS,INFOSYS LTD,Infosys Limited,https://logo.clearbit.com/infosys.com
27,ITC.NS,ITC LTD,ITC Limited,https://logo.clearbit.com/itcportal.com
28,JSWSTEEL.NS,JSW STEEL LTD,JSW Steel Limited,https://logo.clearbit.com/jsw.in
29,KOTAKBANK.NS,KOTAK MAHINDRA BAN,Kotak Mahindra Bank Limited,https://logo.clearbit.com/kotak.com
30,LT.NS,LARSEN & TOUBRO,Larsen & Toubro Limited,https://logo.clearbit.com/larsentoubro.com
31,M&M.NS,MAHINDRA &MAHINDRA,Mahindra & Mahindra Limited,https://logo.clearbit.com/mahindra.com
32,MARUTI.NS,MARUTI SUZUKI IND,Maruti Suzuki India Limited,https://logo.clearbit.com/marutisuzuki.com
33,NESTLEIND.NS,NESTLE INDIA,Nestlé India Limited,https://logo.clearbit.com/nestle.in
34,NTPC.NS,NTPC LTD,NTPC Limited,https://logo.clearbit.com/ntpc.co.in
35,ONGC.NS,OIL & NATURAL GAS,Oil and Natural Gas Corporation Limited,https://logo.clearbit.com/ongcindia.com
36,POWERGRID.NS,POWER GRID CORP,Power Grid Corporation of India Limited,https://logo.clearbit.com/powergrid.in
37,RELIANCE.NS,RELIANCE INDS,Reliance Industries Limited,https://logo.clearbit.com/RELIANCE.com
38,SBILIFE.NS,SBI LIFE INSURANCE,SBI Life Insurance Company Limited,https://logo.clearbit.com/sbilife.co.in
39,SBIN.NS,STATE BK OF INDIA,State Bank of India,https://logo.clearbit.com/sbi.co.in
40,SUNPHARMA.NS,SUN PHARMACEUTICAL,Sun Pharmaceutical Industries Limited,https://logo.clearbit.com/sunpharma.com
41,TATACONSUM.NS,TATA CONSUMER PRODUCT LTD,Tata Consumer Products Limited,https://logo.clearbit.com/tataconsumer.com
42,TATAMOTORS.NS,TATA MOTORS LTD.,Tata Motors Limited,https://logo.clearbit.com/tatamotors.com
43,TATASTEEL.NS,TATA STEEL LTD,Tata Steel Limited,https://logo.clearbit.com/tatasteel.com
44,TCS.NS,TATA CONSULTANCY S,Tata Consultancy Services Limited,https://logo.clearbit.com/tcs.com
45,TECHM.NS,TECH MAHINDRA,Tech Mahindra Limited,https://logo.clearbit.com/techmahindra.com
46,TITAN.NS,TITAN COMPANY LTD,Titan Company Limited,https://logo.clearbit.com/titancompany.in
47,ULTRACEMCO.NS,ULTRATECH CEMENT,UltraTech Cement Limited,https://logo.clearbit.com/ultratechcement.com
48,UPL.NS,UPL LIMITED,UPL Limited,https://logo.clearbit.com/upl-ltd.com
49,WIPRO.NS,WIPRO LTD,Wipro Limited,https://logo.clearbit.com/wipro.com
